,Unnamed: 0,login,post,likes,time
0,0,IrTrade,новый здравоохранение оправданы огромные комиссии прошло 2 недель запуска нового фонда российские акции роста мосбирже очередная новинка ук альфа капитал представила бпиф сектор здравоохранения akmd достаточно комфортных порогом входа районе позиционируют возможность вложиться акции лидеров отраслей фармацевтики биотехнологий медицины внутри всем известные имена jnj unh abt abbv другие сама идея фонда выглядит привлекательно тренд старение населения никто отменял ставка отдельные бумаги сектора очевидно является рискованным вариантом приобретение портфеля покупку бпифа альфа капитал первые запустил компании представляющие сектор здравоохранения мосбирже торгуются tbio тинькофф делающий упор биотехнологии бпифа ук атон менеджмент относительно традиционные компании сектора amgr компании работающие области геномики какие нюансы альфа капитал многие отечественные ук идет пути наименьшего сопротивления активы новый приобретаются напрямую покупку зарубежных etf частности health care select sector spdr fund spdr s p pharmaceuticals etf spdr s p biotech etf ark genomic revolution etf долями 30 30 30 10 соответственно общая комиссия управление фондом 61 год вознаграждение ук 2 вознаграждение специализированному депозитарию регистратору аудиторской организации бирже иные расходы 2 плюс этому прибавьте около 32 иностранные etf вывод инвестиционная стратегия фонда вызывает особых вопросов соотношение активов действительно дает неплохую диверсификацию касается размеров комиссий уместными назовешь 5 лет владения фондом инвестор дополучит 10 подписывайтесь канал получать информацию одним первых новичкам обучение фондовыйрынок россия америка,9,
1,1,PirateInvestor,2020 году ark invest управляющей которого является кэти вуд покорил многих инвесторов своим впечатляющим ростом такие акции sq nvta стали флагманами роста ark invest кратно увеличить капитализацию фонда интерес инвесторов нему видим начала года фонды кэти вуд существенно скорректировались многие инвесторы распродали панике свои акции нужно понимать любая коррекция даёт инвесторам шанс купить перспективные акции низкой цене запрыгивать уезжающий вагон время роста инвестировать фонды кэти вуд недавно московской бирже размещены сразу несколько фондов позиции ark invest такие фонды amin amgr могут стать удачной инвестицией ближайшие нескольких лет единственный минус фондов данный момент это высокая комиссия держите акции которые верит кэти вуд,14,
2,2,Existor,полный состав исходного ishares u s healthcare etf основе которого атона создан проскроллируйте переключитесь portfolio думаю умеренностью сказать состав качественный диверсифицированный нежели tbio инвестиционная рекомендация скажу хотите фарму биотех денег особо отдельные компании имеет смысл аккуратно регулярно докупать оба фонда аккуратно имею ввиду бесконечное усреднение таким образом просадки волатильной сфере будут страшны докупается каждую неделю 10 лотов другого брокера комиссией ниже поскольку имеет высокую комиссию tbio докупаю тинькове отсутствия комиссии,3,
3,3,Existor,tbio думаю данный начнет давать просадку модерны около 6 бизнес которой ориентирован вакцину обломали недавним заявлением байдена отмену патентов вакцину будущем ещё шанс управляши тиньков ребалансируют немного новости кого доберут уменьшат модерну скажу фарма интересна обычным рядовым инвесторам старайтесь брать фарм компании диверсифицированным бизнесом проще говоря занимались вакцинами примеры рядом pfe jnj другие довольно рисково ориентироваться вакцину,1,
4,4,Existor,нашел источник дают топ15 бумаг etf прошлом постудии топ10 которым следит атон кроме атон выбрали самый удачный отслеживания пока подержу октября одновременно tbio посмотрю динамику обоих фондов оба фонда равномерно докупаю каждую нужну неделю,3,
5,5,Existor,отличается tbio копирует ishares u s healthcare etf iyh неполный состав изображении ниже источник yahoo finance лично такого состава достаточно решения докупать одновременно tbio атонском фонде компании достаточно крупные стабильные слишком дивидендные мастодонты фармацевтики медицины случае каких обвалов думаю активы вполне считать защитными думаю большая комиссия должна отпугивать некоторые этих компаний довольно дорогие немного скучные среднесрочного портфеля 500к скучные плане сильной волатильности высоких дивидендов,3,
6,6,dimka.kuzmin,tipo tbio tspv tmos fxwo amgr пакетик интересный фондов,1,
7,7,LazyStonks,последнее время начал избавляться вещей самыми эффективными способами вчера выложил объявление продаже собачей клетки которая просто занимает место балконе сегодня утром клетку купили 1500 балконе стало свободнее появилась свободная денюжка думаю вложить новых фондов атон пока интересует amsc цифровое будущее очень нравятся акции которые заложены также интересны amin вложить,5,
8,8,batongit,расти собираются судя всему,0,
9,9,Santila0306,фонды атон дата выхода биржу мосбиржа расширяется amem amre amcc amvf amin amgr amgf amgm почему это интересно растёт конкуренция связи конкуренцией скорее фонды начнут снижать комиссии обслуживание привлечь клиентов выбор каждый найти стратегию мосбирже фонды всё многие вышли некоторые скоро появятся фонды выглядят интересно скорее многое добавлю свой брокерский счёт иис,23,
10,10,SSK911,ссс пусто никого ау,0,
11,11,MXF,инсайдерские продажи часть раскрытие 23 aeo kessler charles f global brand president ae 36 06 51m rempell michael r evp chief operations officer 36 45m sable david m director 36 36m glazer capital llc 10 owner 9 92 01m glazer capital llc 10 owner 23 9 92 51m ew sellers robert w a vp corporate controller 23 97 66 17m ibkr peterffy thomas chairman 74 46 5m peterffy thomas chairman 22 72 92 45m ko loveless kathy vice president controller 54 3 39m lmt ambrose richard f executive vice president 387 12 35m lavan maryanne svp general counsel 22 384 48 2 08m medp medpace investors llc 10 owner 187 02 2 93m medpace investors llc 10 owner 22 188 64 2 71m troendle august j president ceo 187 02 2 93m troendle august j president ceo 22 188 64 2 71m mkl markel steven a director 22 1200 05 67m mrna bancel stephane chief executive officer 158 6 43m bancel stephane chief executive officer 22 168 26 68m nvta george sean e president ceo 22 36 55 13m petq newland john chief financial officer 40 56 18m pg majoras deborah p chief legal officer secy 22 135 47 74m pgny payson norman director 49 38 25m payson norman director 22 51 48 26m всем успешной торговли забудьте лайкнуть подписаться получите доступ ежедневным отчётам сделкам инсайдеров тепловой карте рынка топу кандидатов шорт сквиз горячим новостям компаниям сша обучающим материалам insider инсайдер инсайдерские_продажи,11,
12,12,investiryem_bez_moz_gov,новинки,0,
