,Unnamed: 0,login,post,likes,time
0,0,Ascetic,esg esgинвестирование 15 07 2021 raex europe опубликовала июльское обновление рейтинга российских компаний raex europe независимое кредитное рейтинговое агентство ес входящее международную группу raex которая имеет 20 летний опыт работы рейтинговой аналитической индустрии кому интересно можете посмотреть рейтинг,0,2021-07-16 12:07:00
1,1,Ascetic,nvtk esgинвестирование совет директоров новатэка создал подкомитет климату альтернативной энергетике комитете стратегии совета директоров говорится сообщении компании подкомитет возглавит вице президент totalenergies оценке управлению разработкой залежей марион подкомитет заниматься анализом деятельности компании вырабатывать рекомендации совета директоров вопросам связанным стратегией области климата декарбонизации развитием возобновляемых источников энергии производства низкоуглеродного топлива,0,2021-07-16 11:07:00
2,2,QualifiedInvestments,самые интересные отчеты события дивиденды 16 07 21 сохраняйте пропустить фьючерсы сша европа азия интересные отчеты пятница alv autoliv inc 13 15 schw charles schwab corp 15 45 ksu kansas city southern in 15 stt state street corp 14 45 лучшие дивиденды cmre costamare последний день покупки 16 июля доходность 01 sngsp сургутнефтегаз последний день покупки 16 июля доходность 14 09 основные сделки ark кэти вуд вчера coin куплено 69 172 акций u куплено 354 919 акций nvda продано 791 акция pstg продано 606 465 акций какие обратить внимание ksu pbf nrix mlco endp sldb ccl fxcn fxes zyxi самые обсуждаемые wsb wish 2 spce 3 nvda 4 aapl 5 clov интересные события 12 базовый индекс потребительских цен ипц июнь 12 индекс потребительских цен ипц июнь 12 сальдо торгового баланса май 15 30 базовый индекс розничных продаж м м июнь 15 30 объём розничных продаж м м июнь 17 объём товарно материальных запасов м м май 17 индекс ожиданий потребителей мичиганского университета июль 17 индекс настроения потребителей мичиганского университета июль 20 число активных буровых установок baker hughes 20 общее число буровых установок сша baker hughes 23 объём покупок долгосрочных ценных бумаг tic май будьте внимательны осторожны принимайте решения самостоятельно ещё аналитики инвестидей разборов компаний полезного контента обучения канале квалифицированные инвестиции qualifiedinvestments профиле является индивидуальной инвестиционной рекомендацией qinvestments аналитика отчёты инвестиции дивиденды событиядня инвестидеи прояви_себя_в_пульсе пульс_оцени,12,2021-07-16 10:07:00
3,3,Morozov_OD,,0,2021-07-16 09:07:00
4,4,Mishka_friday,googl вчера скорректировался надеюсь коррекция продолжит глобально таки 5 года видели хорошенькой фиксации камон фонды крупняки вышли позиций ipo наделали кучу впарили хомякам полно очень хороших бизнесов пора друзья пора prlb вчера купил боже противоречу посмотрите приятно недельках очень хорошем сопротивление линию рисовать цена дневках ушли середину коронакризиса является небольшим сигналом недооценнености вообще ведет китайская proto labs душе китайцы купил кстати купил тинке инвесткопилка факту тинки решил перекидывать будущее накопится сумма лот примерно 9 инвестирую сюда посмотрим лет 10 momo прикинулся мервым ходит одной цене ждем какие интересные идеи,1,2021-07-16 08:07:00
5,5,Ascetic,доброе утро коротко esgинвестирование еврокомиссия предлагает целый ряд законодательных мер которые предстоит одобрить главам стран ес предложения включают следующее реформа торговли квотами выбросы углерода ес которая охватывать морские суда автотранспорт здания новые цели доле виэ структуре энергоснабжения союза целевые показатели энергоэффективности пересмотр налога энергоносители числе дизельное топливо бензин электроэнергию т д твердые цели строительству зарядных станций электромобилей млн 2025 3 млн 2030 жесткие цели сокращению углеродного следа новых автомобилей 60 90 2030 относительно текущего уровня рассматривается этап массовым переходом перспективе ес будут внимательно смотреть углеродный след компаний,1,2021-07-16 08:07:00
6,6,AlenaKmr,сколько паникёров успел купить 5 никчемная бумажка прочие отзывы никчёмная судить хотя 2 момент покупки объем фонда 1млн прошло дня 3млн дальше всё зависеть опыта тех фондом управляет совершаемых ими сделок паникуйте быстрого дохода всем удачи прибыли,17,2021-07-15 19:31:00
7,7,Hobana,такое ощущение график пропорционален tsla,0,2021-07-15 18:23:00
8,8,Azkar,откуда рост,0,2021-07-15 16:58:00
9,9,vasilek_invest,снова_полезный_пост фонды стратегия новые фонды часть 2 всем привет друзья рынках жаришка окном выльется глобальный пожар сухостоя распогодится снова заживём переходим новым фондам fxes 9 немало учитывая узкую направленность отсутствие адекватно конкуренции писал вчера терпимо поводу покупки могу сказать брать уникальности нашем рынке растущей популярности гейминга майнинга железо составе производителей игр прочих прелестей современных реалий решил скорее стоить дешевле ближайшие пару лет точно покупать буду стараться возрастанию позиции уменьшению цены пойдет моему сценарию т е сначала 5 позиции желаемой снижении 10 серьезном завале добрать 30 итд расти брать разумный инвестор фиксированной суммой 99 заоблачный процент делать ситуация принципе предыдущим фондом узкая современная направленность интересные активы которые могу позволить неквалы снова вопрос цены зелёные компании нереально выросли прошедший год просто нереальный рост такого должно видим бывает поэтому хотите брать возбраняется лично думаю делать таким макаром fxes т цена начинки фонда сильно кусается никто знает хай верно tbru 99 облигационных фондах могу понять почему такая высокая наверное пофиксят ибо современный новомодный бпиф который хайпе интересен молодеже фонды облигаций должны стоить дешевле управлении должны обязаны итоге хочу сказать рынок дорог опасностей макроэкономические проблемы лишь отсрочены решены инфляция пандемия гигантские долги недовольства расслоения огромная куча новой ликвидности потухнуть фитиль бомбы замедленного действия ответить могу наверное мало сможет мнения разнятся нужно продолжать знакомится идеями опытных экономистов бомба рвануть однозначно поэтому рецензировал пост выше подготовиться заранее недозаработав жалеть портфель крови сложился двое p s пытаюсь искать интересные варианты рынке удержания ликвидности момент икс ещё идея бондами ruonia постараюсь обязательно написать думаю старые идеи освежем золото итд поэтому кому интересно подписаться подписчиков буду работать дальше мере возможностей fxip лайк дизлайк подписка прояви_себя_в_пульсеx,14,2021-07-15 16:50:00
